title,url,source,published,snippet,query,also_covered_by,relevance_score,credibility_score,confidence_score,combined_score,include_in_newsletter
ITC Hotels to acquire GHK Hospitality for ₹155 crore; shares decline 5% - Upstox,https://news.google.com/rss/articles/CBMixgFBVV95cUxOQ3RtcEVCS21Ya0JmWWZiQ0ItNmJheGdNeUhKZjBRSjF4anZkUU9qcU5ZOGFzSlZOT2EtNnpYYnozWDZ1TE1tSnlrZWVQZHhndnBmLXc1YzdkS0xLMExDTjJLTkpTdTRDak9ic2xnVDBscV9HWVNmMDZfQWQwc085Y2tJSS1PVnNmQ2NFRFRoWk9pME9pVDh3NkFoUDNhUTBUaUhlZ0hTMU1fUGk3cUpTT0loY3MzUEV6SGFDSFd0eHdoUkZ5ZFE?oc=5,Upstox,2026-07-16T09:07:19+00:00,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOQ3RtcEVCS21Ya0JmWWZiQ0ItNmJheGdNeUhKZjBRSjF4anZkUU9qcU5ZOGFzSlZOT2EtNnpYYnozWDZ1TE1tSnlrZWVQZHhndnBmLXc1YzdkS0xLMExDTjJLTkpTdTRDak9ic2xnVDBscV9HWVNmMDZfQWQwc085Y2tJSS1PVnNmQ2NFRFRoWk9pME9pVDh3NkFoUDNhUTBUaUhlZ0hTMU1fUGk3cUpTT0loY3MzUEV6SGFDSFd0eHdoUkZ5ZFE?oc=5"" target=""_blank"">ITC Hotels to acquire GHK Hospitality for ₹155 crore; shares decline 5%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>","""ITC"" acquisition","['Storyboard18', 'Rediff MoneyWiz', 'livemint.com', 'Upstox', 'The Times of India', 'Lapaas Voice', 'The Economic Times']",0.9,0.5,0.7,0.73,True
"Adani Group Eyes ITC Hotels and Accor to Manage Jaypee Hospitality Assets Post ₹14,535 Cr Takeover - Sahi",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQWW1QMnE3SWNqdGY5N3NvZ29sWmhfWXI0WHRZbGFMUmZJamZDWXV6bi0ydjJ3X1V4UUZvbGVoYVZMNnpwWmpRSm9PQVhyM0JMaGFnMEZ2TW1IalBBTDBLZWo3YVFScy02X0M5Qk8wUW1ZZGdRNkZqSDRJd0JDdnY2VVNHZFJFaUtEU3FTZ0doS2R4eFliemRUUGEzd0N5aXlSTEdmRXhZelVXSHU5dVkzVnFybUtPUkhyOXliQ3h4OHh0WTNqbmQyYzVtclhxMGxHT2c?oc=5,Sahi,2026-07-16T04:24:30+00:00,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQWW1QMnE3SWNqdGY5N3NvZ29sWmhfWXI0WHRZbGFMUmZJamZDWXV6bi0ydjJ3X1V4UUZvbGVoYVZMNnpwWmpRSm9PQVhyM0JMaGFnMEZ2TW1IalBBTDBLZWo3YVFScy02X0M5Qk8wUW1ZZGdRNkZqSDRJd0JDdnY2VVNHZFJFaUtEU3FTZ0doS2R4eFliemRUUGEzd0N5aXlSTEdmRXhZelVXSHU5dVkzVnFybUtPUkhyOXliQ3h4OHh0WTNqbmQyYzVtclhxMGxHT2c?oc=5"" target=""_blank"">Adani Group Eyes ITC Hotels and Accor to Manage Jaypee Hospitality Assets Post ₹14,535 Cr Takeover</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sahi</font>","""ITC"" acquisition","['NiftyTrader', 'The Economic Times']",0.9,0.5,0.7,0.73,True
ITC Hotels signs Rs 155 crore Welcomhotel Ahmedabad acquisition - BW Hotelier,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNRFBSa2lmUS1BdlRUOHZPVWkza0h2UXBxMlFJYko0V2EycTY2VlBNbVE2ck5TNXAwemo3YmlRMjZqZURxYWZfQ0pXb2RVeEswNkNrTVBMamFreUw1MXJGZ1hKSjViWGhjcGZ2ODkxcmtVcFJYUWhxTy1FZ1dUSVktZ0Y0bThSdEVaaUFweG93SXBpOVdnczcwVUU1dUhqRFZCZjl3RlQwb0I?oc=5,BW Hotelier,2026-07-16T11:14:48+00:00,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNRFBSa2lmUS1BdlRUOHZPVWkza0h2UXBxMlFJYko0V2EycTY2VlBNbVE2ck5TNXAwemo3YmlRMjZqZURxYWZfQ0pXb2RVeEswNkNrTVBMamFreUw1MXJGZ1hKSjViWGhjcGZ2ODkxcmtVcFJYUWhxTy1FZ1dUSVktZ0Y0bThSdEVaaUFweG93SXBpOVdnczcwVUU1dUhqRFZCZjl3RlQwb0I?oc=5"" target=""_blank"">ITC Hotels signs Rs 155 crore Welcomhotel Ahmedabad acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BW Hotelier</font>","""ITC"" acquisition",['The Times of India'],0.9,0.5,0.55,0.693,True
"Marico's acquired brands generate ₹1,552 crore in FY26 - livemint.com",https://news.google.com/rss/articles/CBMivAFBVV95cUxNZlJwQjM0ejZUTGxlY256MENOakxqVnJSVzBvc3djbGEwRkhVbElHVTZvVmlJN185bWV2bUp4OUllTGc4TTMxRTI1ODQ3LUkyazN3NVBkYndueUppMEJ6RFNsaEFUNHluTVpoQzJYV1gtNFpmSUM1RjZIYmI0MmJkZEg3RjM4X0MxUVF3MDlaZkJRXzNyTzE1VDRvNE5rWXFTczdkQ3VtLUY3dnp0dFhWMF9rQ245Nk1ublJGa9IBwgFBVV95cUxNZFdJMWZpYXNjeFhacXQtN19oTlJqS25PQzZ5Qjl2V0JKMHFwek54dWROSFdoQVFhbFVaeU01VkI4RE94WFZTNGxHZFNWakI3UlFncmFfeFc2MXY0YzI1TU9YM3Z0MzY0V3JmMGpNQk5QeUZMaEZQZW4xOFg1YUo4aURMcnBpMjcxdWxJTDJIUHVKWTZpNzY4cXFXaGh3NEI0azZpcjl0VjVJVC0wa3NFYmNicEw4N0tkRmNiUjc2d2VPUQ?oc=5,livemint.com,2026-07-09T14:03:54+00:00,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNZlJwQjM0ejZUTGxlY256MENOakxqVnJSVzBvc3djbGEwRkhVbElHVTZvVmlJN185bWV2bUp4OUllTGc4TTMxRTI1ODQ3LUkyazN3NVBkYndueUppMEJ6RFNsaEFUNHluTVpoQzJYV1gtNFpmSUM1RjZIYmI0MmJkZEg3RjM4X0MxUVF3MDlaZkJRXzNyTzE1VDRvNE5rWXFTczdkQ3VtLUY3dnp0dFhWMF9rQ245Nk1ublJGa9IBwgFBVV95cUxNZFdJMWZpYXNjeFhacXQtN19oTlJqS25PQzZ5Qjl2V0JKMHFwek54dWROSFdoQVFhbFVaeU01VkI4RE94WFZTNGxHZFNWakI3UlFncmFfeFc2MXY0YzI1TU9YM3Z0MzY0V3JmMGpNQk5QeUZMaEZQZW4xOFg1YUo4aURMcnBpMjcxdWxJTDJIUHVKWTZpNzY4cXFXaGh3NEI0azZpcjl0VjVJVC0wa3NFYmNicEw4N0tkRmNiUjc2d2VPUQ?oc=5"" target=""_blank"">Marico's acquired brands generate ₹1,552 crore in FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>","""Marico"" acquisition",['Lapaas Voice'],0.9,0.5,0.55,0.693,True
"ITC Hotels Q1 results, GHK acquisition: Net profit up 35%; occupancy, room rates, other key highlights - Business Today",https://news.google.com/rss/articles/CBMizwFBVV95cUxQbm4xQ3YxZGVpWGtUSms0ekN2WWxSMldjVDdsQ2d3c0p4dGNwZDFYZkpBenlGQmV2SXppVjlPWkY5MkZTdUpLSnF0LXV0ZlhSSVd5R3VJUzlWelN4WEJKdVdzSUUzbGp5R3AzRjR3ejU5cS1lOE93RDFCTHFsTF9ET2tkTktnMkFDaHBJLUhzQl9CRnNoZXNCbnFwMUhYTVZ1MlBVSHd5WnAzb0o0SFYtNDgtclVrM2hQWUNTMWpkTDJESlE0WlI4R3d2NkZDbEXSAdQBQVVfeXFMTlZtcnYyNFYycmFhdENNNS0ybjg5QzZhdmhfbHR1eEtNazY2OE1xTTNhdTlQZGFpOEFJT0kyZWdMLV9PSjhmdmt2akExbUNzbnFaYUhDOGNZLWdmZFBLQmItSW1VX0xPZm5NWnVfRWJSczhpc0VHY3ZGVTkyUXBLdGN0R1lFRGNFUkVsZkpRaGdUSjUtZi1McnRPZlltQkk3OWhQRk9IR21iWmJEckF2NXQ2WEVWOHRSX3kyOXFISXVLTy04dkhKTDVrc3VzUjU4X2FfOTM?oc=5,Business Today,2026-07-16T08:51:57+00:00,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQbm4xQ3YxZGVpWGtUSms0ekN2WWxSMldjVDdsQ2d3c0p4dGNwZDFYZkpBenlGQmV2SXppVjlPWkY5MkZTdUpLSnF0LXV0ZlhSSVd5R3VJUzlWelN4WEJKdVdzSUUzbGp5R3AzRjR3ejU5cS1lOE93RDFCTHFsTF9ET2tkTktnMkFDaHBJLUhzQl9CRnNoZXNCbnFwMUhYTVZ1MlBVSHd5WnAzb0o0SFYtNDgtclVrM2hQWUNTMWpkTDJESlE0WlI4R3d2NkZDbEXSAdQBQVVfeXFMTlZtcnYyNFYycmFhdENNNS0ybjg5QzZhdmhfbHR1eEtNazY2OE1xTTNhdTlQZGFpOEFJT0kyZWdMLV9PSjhmdmt2akExbUNzbnFaYUhDOGNZLWdmZFBLQmItSW1VX0xPZm5NWnVfRWJSczhpc0VHY3ZGVTkyUXBLdGN0R1lFRGNFUkVsZkpRaGdUSjUtZi1McnRPZlltQkk3OWhQRk9IR21iWmJEckF2NXQ2WEVWOHRSX3kyOXFISXVLTy04dkhKTDVrc3VzUjU4X2FfOTM?oc=5"" target=""_blank"">ITC Hotels Q1 results, GHK acquisition: Net profit up 35%; occupancy, room rates, other key highlights</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>","""ITC"" acquisition",,0.9,0.5,0.4,0.655,True
ITC Properties to acquire 20% stake in PYI Investment through HKD 336.68 million deal - Prop News Time,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNYTZZQUczejhxOTdSQnFNUlZ3Y0ZwcG1CLVZDb2doMG81R0UwV3BtUXNyTElteko5TmdLNmZ5MHYyX3VjNEg2OG9Xb2tDT2g3VmIxaUhTV3pIUThVN3VrTk1ITHVxZXhjeTBTUGpnY01GbFEweWh3WUdrNXFMN0tHZHBTRkhMWmlodlg5OE80cldFbTJQdndNalhCZWcyZlU4Y2xZLXRhbjkzcDdrLTBkUnlRdG0welE0emQxem5WS09nWG1XU2RvLUtFQWdYN3ZnbXdv?oc=5,Prop News Time,2026-07-07T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNYTZZQUczejhxOTdSQnFNUlZ3Y0ZwcG1CLVZDb2doMG81R0UwV3BtUXNyTElteko5TmdLNmZ5MHYyX3VjNEg2OG9Xb2tDT2g3VmIxaUhTV3pIUThVN3VrTk1ITHVxZXhjeTBTUGpnY01GbFEweWh3WUdrNXFMN0tHZHBTRkhMWmlodlg5OE80cldFbTJQdndNalhCZWcyZlU4Y2xZLXRhbjkzcDdrLTBkUnlRdG0welE0emQxem5WS09nWG1XU2RvLUtFQWdYN3ZnbXdv?oc=5"" target=""_blank"">ITC Properties to acquire 20% stake in PYI Investment through HKD 336.68 million deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prop News Time</font>","""ITC"" acquisition",,0.9,0.5,0.4,0.655,True
"Marico plans to step up acquisitions in FY27 as digital brands cross ₹1,100 crore ARR - BusinessLine",https://news.google.com/rss/articles/CBMi6wFBVV95cUxNUk9pWXc2eUxTZkF4dTlKVXpubzZjdmJpcnJ4YXJqTjhTQmtlZHJGOVZ5SmNSTVBYZUpDSDE1Y0VvX09vbjREZTlsSV8tb0hTcEZtQlU1LU4yRlFEbVN5THBuLXVUc3A4amtkY292ZHBwZEZ3TXJxVU9LalctY1R1U1F2OE1YMURYTVVGci11OERXQnNwUW1tMlRZdUxOSTF0VmpQMW5qT3hBQU1hSzdsb190ZEROMUc4aXNpVUVYLU93RFR3V0RteE13Z1AxeGJxLVhtRmtvZ3d5QmlrUXZBV0FpUnNRdWtzNmRJ0gHrAUFVX3lxTE1ST2lZdzZ5TFNmQXh1OUpVem5vNmN2YmlycnhhcmpOOFNCa2VkckY5VnlKY1JNUFhlSkNIMTVjRW9fT29uNERlOWxJXy1vSFNwRm1CVTUtTjJGUURtU3lMcG4tdVRzcDhqa2Rjb3ZkcHBkRndNcnFVT0tqVy1jVHVTUXY4TVgxRFhNVUZyLXU4RFdCc3BRbW0yVFl1TE5JMXRWalAxbmpPeEFBTWFLN2xvX3RkRE4xRzhpc2lVRVgtT3dEVHdXRG14TXdnUDF4YnEtWG1Ga29nd3lCaWtRdkFXQWlSc1F1a3M2ZEk?oc=5,BusinessLine,2026-07-16T07:57:47+00:00,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNUk9pWXc2eUxTZkF4dTlKVXpubzZjdmJpcnJ4YXJqTjhTQmtlZHJGOVZ5SmNSTVBYZUpDSDE1Y0VvX09vbjREZTlsSV8tb0hTcEZtQlU1LU4yRlFEbVN5THBuLXVUc3A4amtkY292ZHBwZEZ3TXJxVU9LalctY1R1U1F2OE1YMURYTVVGci11OERXQnNwUW1tMlRZdUxOSTF0VmpQMW5qT3hBQU1hSzdsb190ZEROMUc4aXNpVUVYLU93RFR3V0RteE13Z1AxeGJxLVhtRmtvZ3d5QmlrUXZBV0FpUnNRdWtzNmRJ0gHrAUFVX3lxTE1ST2lZdzZ5TFNmQXh1OUpVem5vNmN2YmlycnhhcmpOOFNCa2VkckY5VnlKY1JNUFhlSkNIMTVjRW9fT29uNERlOWxJXy1vSFNwRm1CVTUtTjJGUURtU3lMcG4tdVRzcDhqa2Rjb3ZkcHBkRndNcnFVT0tqVy1jVHVTUXY4TVgxRFhNVUZyLXU4RFdCc3BRbW0yVFl1TE5JMXRWalAxbmpPeEFBTWFLN2xvX3RkRE4xRzhpc2lVRVgtT3dEVHdXRG14TXdnUDF4YnEtWG1Ga29nd3lCaWtRdkFXQWlSc1F1a3M2ZEk?oc=5"" target=""_blank"">Marico plans to step up acquisitions in FY27 as digital brands cross ₹1,100 crore ARR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>","""Marico"" acquisition",,0.9,0.5,0.4,0.655,True
ITC Infotech emerges as frontrunner to acquire majority stake in Happiest Minds - Moneycontrol.com,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPeFVUeHhGa19scmI0dmxrUWdlZk9pZWM0aW1kbGxPR0hrR0c4a1d0dXhPRkU4YUlJczZ5b0hVTWVIY2laMzlGREFuNUdoMDJGQmZJcEVoTXAzdzhNYUhJYkZvWDk2T3A5MHFIMHdLWGNiOENtVi1raVU0bXJEemN6Z2NhWDg0T1FCcjVoQzZZX0lpRG10RDNTQmc3UUVScm5OTVAtVVI2MFQzeWZnQ1QwMlFicGZ1M3RuSjNCSmJmajhWaVlVWnl2LWJyeHdFY0dhVE16YlFWRU0tTVZxX3ZTb1hPM0FnQzVuUmlrdUN6Mk3SAfYBQVVfeXFMTXpCTmFyZTVtUGVQR0d2Q1lzVWQyN1kzS0wzV3ZlMmEtUDdqX3liUk5LdDlLQXY5QXdzQWRIam9rSGxxWnA4MjJlTzVKU0dJd2xEX19zckV5T2xTQ3REVldySkNJSnp6aHFqU1AtUkhFcm1DeWlsbldIdEI0VmVhekE3cUhqZE1mRGdDUDR6LUF6dkNsbVFHcFd4eXBxNzJvN2lhZEpJOVRuS2ZzeldYcTBEUXEycTJnVGZBdjhpbXpwQ0J5ekgxaTdMZ09JU192ZVAtUWhYYlFQOGs5LW9wTHNQVTVfQnZRTS1Ob0lYMDEwZTRWRVR3?oc=5,Moneycontrol.com,2026-07-13T07:56:07+00:00,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPeFVUeHhGa19scmI0dmxrUWdlZk9pZWM0aW1kbGxPR0hrR0c4a1d0dXhPRkU4YUlJczZ5b0hVTWVIY2laMzlGREFuNUdoMDJGQmZJcEVoTXAzdzhNYUhJYkZvWDk2T3A5MHFIMHdLWGNiOENtVi1raVU0bXJEemN6Z2NhWDg0T1FCcjVoQzZZX0lpRG10RDNTQmc3UUVScm5OTVAtVVI2MFQzeWZnQ1QwMlFicGZ1M3RuSjNCSmJmajhWaVlVWnl2LWJyeHdFY0dhVE16YlFWRU0tTVZxX3ZTb1hPM0FnQzVuUmlrdUN6Mk3SAfYBQVVfeXFMTXpCTmFyZTVtUGVQR0d2Q1lzVWQyN1kzS0wzV3ZlMmEtUDdqX3liUk5LdDlLQXY5QXdzQWRIam9rSGxxWnA4MjJlTzVKU0dJd2xEX19zckV5T2xTQ3REVldySkNJSnp6aHFqU1AtUkhFcm1DeWlsbldIdEI0VmVhekE3cUhqZE1mRGdDUDR6LUF6dkNsbVFHcFd4eXBxNzJvN2lhZEpJOVRuS2ZzeldYcTBEUXEycTJnVGZBdjhpbXpwQ0J5ekgxaTdMZ09JU192ZVAtUWhYYlFQOGs5LW9wTHNQVTVfQnZRTS1Ob0lYMDEwZTRWRVR3?oc=5"" target=""_blank"">ITC Infotech emerges as frontrunner to acquire majority stake in Happiest Minds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>","""ITC"" acquisition","['The Times of India', 'outlookbusiness.com', 'analyticsindiamag.com', 'TradingView', 'Moneycontrol.com']",0.9,0.5,0.3,0.63,True
CMA Investigates Danone's Huel Acquisition - Asian Trader,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5TdFJ0alBWel9XUllBd3dwRV9vQlVqeDBnN21lMVhqUkVFdTZoSk9RYkdGUGMyYk41a0ZhTnVKaFV5M3FGQjhkMy1wMk9xcnJPd3ZkU29RMFI0bnRNVS1QaThzOE1EZ08x?oc=5,Asian Trader,2026-07-16T08:51:30+00:00,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE5TdFJ0alBWel9XUllBd3dwRV9vQlVqeDBnN21lMVhqUkVFdTZoSk9RYkdGUGMyYk41a0ZhTnVKaFV5M3FGQjhkMy1wMk9xcnJPd3ZkU29RMFI0bnRNVS1QaThzOE1EZ08x?oc=5"" target=""_blank"">CMA Investigates Danone's Huel Acquisition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asian Trader</font>","""Danone"" acquisition",['Insider Media Ltd'],0.9,0.5,0.15,0.593,True
"CORDA Investment Management LLC. Acquires 20,289 Shares of Mondelez International, Inc. $MDLZ - MarketBeat",https://news.google.com/rss/articles/CBMi4wFBVV95cUxQb1FjOXlsS3hDVk81cFplTzlrWEFjRTF0Sy05N2lVRG1uLVBza2NyVFZDSC1QVHNJSHVNNEFwS3pJZ1paYll6Y1lXTGxDVXdnTm5EaGtaVXhvVld5a2EtWnNuV1ZYZEQtbmhXN3VfcTl1Q2ZqZUFfT2JBR0RhdDhWZGcwaGpCLXVBNWVrZV9NNkV6X1p6d1phQi1pUnFycXo5QXVvcmRxd0NJa2kzVjMzMko1dnNybWpjMFBIUzRiZXlSSlg4a1lmMXUxYThtVEE1Ylg0SzA2bDFHTXk2NUZoelZTZw?oc=5,MarketBeat,2026-07-13T08:26:35+00:00,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxQb1FjOXlsS3hDVk81cFplTzlrWEFjRTF0Sy05N2lVRG1uLVBza2NyVFZDSC1QVHNJSHVNNEFwS3pJZ1paYll6Y1lXTGxDVXdnTm5EaGtaVXhvVld5a2EtWnNuV1ZYZEQtbmhXN3VfcTl1Q2ZqZUFfT2JBR0RhdDhWZGcwaGpCLXVBNWVrZV9NNkV6X1p6d1phQi1pUnFycXo5QXVvcmRxd0NJa2kzVjMzMko1dnNybWpjMFBIUzRiZXlSSlg4a1lmMXUxYThtVEE1Ylg0SzA2bDFHTXk2NUZoelZTZw?oc=5"" target=""_blank"">CORDA Investment Management LLC. Acquires 20,289 Shares of Mondelez International, Inc. $MDLZ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>","""Mondelez"" acquires",['MarketBeat'],0.9,0.5,0.15,0.593,True
